Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.7,-0.96,18.882,18.882,18.62,18.7408,16308,305625.954,292,18.882,15.86,2023-04-12
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.165,-0.39,5.15,5.185,5.15,5.1651,1262,6518.426,24,5.327,4.903,2023-04-12
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.72,0.63,18.798,18.816,18.7,18.7538,17124,321140.666,285,18.882,15.86,2023-04-13
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.19,1.23,5.18,5.19,5.15,5.1771,5797,30012.192,49,5.327,4.903,2023-04-13
STK,STK EMERGENT,200,67.0,-0.74,67.0,67.0,67.0,67.0,5,335.0,1,74.0,59.0,2023-04-13
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.706,-0.07,18.72,18.884,18.706,18.7691,18221,341991.852,218,18.882,15.86,2023-04-14
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.19,0.0,5.19,5.19,5.16,5.1813,4555,23600.948,28,5.327,4.903,2023-04-14
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.836,0.31,18.78,18.854,18.702,18.7998,10914,205181.494,174,18.882,15.86,2023-04-15
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.195,0.1,5.19,5.2,5.19,5.1956,5197,27001.652,34,5.327,4.903,2023-04-15
BTF,FONDUL INCHIS DE INVESTITII BET FI INDEX INVEST,200,610.0,0.0,610.0,610.0,610.0,610.0,5,3050.0,2,610.0,600.0,2023-04-15
STK,STK EMERGENT,200,67.0,3.08,67.0,67.0,67.0,67.0,1,67.0,1,74.0,59.0,2023-04-15
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.516,1.73,18.83,18.83,18.4,18.5059,21328,394695.512,299,18.882,15.86,2023-04-16
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.184,0.15,5.185,5.185,5.115,5.1484,6131,31565.245,25,5.327,4.903,2023-04-16
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.716,2.28,18.78,18.78,18.5,18.5684,12509,232273.13,211,18.882,15.86,2023-04-17
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.17,-0.27,5.184,5.184,5.14,5.1828,6081,31516.866,22,5.327,4.903,2023-04-17
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.732,2.23,18.716,18.848,18.54,18.6331,10578,197101.856,176,18.882,15.86,2023-04-18
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.144,-0.5,5.15,5.17,5.13,5.1423,3242,16671.606,34,5.327,4.903,2023-04-18
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.85,-1.56,18.85,18.96,18.8,18.8693,13697,258453.392,135,18.882,15.86,2023-04-19
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.202,0.02,5.201,5.202,5.179,5.1937,1407,7307.567,18,5.327,4.903,2023-04-19
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.87,0.88,18.86,18.898,18.812,18.8694,7172,135331.546,135,18.882,15.86,2023-04-20
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.2,-0.04,5.202,5.202,5.174,5.1804,6906,35776.47,16,5.327,4.903,2023-04-20
